,Row,Column,pixel[1],pixel[2],pixel[3],pixel[4],pixel[5],pixel[6],pixel[7],pixel[8],pixel[9],pixel[10],pixel[11],pixel[12],pixel[13],pixel[14],pixel[15],pixel[16],pixel_mean
0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
1,0,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
2,0,2,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
3,0,3,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
4,0,4,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
5,0,5,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
6,0,6,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
7,0,7,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
8,0,8,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
9,0,9,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
10,0,10,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
11,0,11,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
12,0,12,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
13,0,13,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
14,0,14,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
15,0,15,255,255,255,255,255,255,255,255,254,255,255,255,255,255,255,255,254.9375
16,0,16,255,255,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.9375
17,0,17,255,255,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.9375
18,0,18,255,249,255,254,254,255,255,255,255,255,255,255,255,255,255,255,254.5
19,0,19,255,252,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.75
20,0,20,255,255,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.9375
21,0,21,255,255,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.9375
22,0,22,255,255,255,254,254,255,255,255,255,255,255,255,255,255,255,255,254.875
23,0,23,255,255,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.9375
24,0,24,255,248,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.5
25,0,25,255,254,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.875
26,0,26,255,246,255,254,251,255,255,255,254,255,255,255,255,255,255,255,254.0625
27,0,27,254,249,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.5
28,0,28,255,255,255,254,247,255,255,255,255,255,255,255,255,255,255,255,254.4375
29,0,29,255,255,255,254,252,255,255,255,255,255,255,255,255,255,255,255,254.75
30,0,30,255,255,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.9375
31,0,31,255,252,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.75
32,0,32,255,249,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.5625
33,0,33,255,255,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.9375
34,0,34,255,255,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.9375
35,0,35,255,255,255,254,255,255,255,255,255,255,255,255,255,254,255,255,254.875
36,0,36,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
37,0,37,255,254,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254.9375
38,0,38,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
39,0,39,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,254.9375
40,0,40,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
41,0,41,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
42,0,42,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
43,0,43,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
44,0,44,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
45,0,45,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
46,0,46,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
47,0,47,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
48,1,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
49,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
50,1,2,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
51,1,3,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
52,1,4,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
53,1,5,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
54,1,6,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
55,1,7,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
56,1,8,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
57,1,9,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
58,1,10,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
59,1,11,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
60,1,12,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
61,1,13,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
62,1,14,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
63,1,15,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255.0
64,1,16,255,255,255,254,255,255,255,255,255,255,254,255,255,255,255,255,254.875
65,1,17,255,249,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.5625
66,1,18,255,255,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.9375
67,1,19,255,255,255,254,255,255,255,255,254,255,255,255,255,255,255,255,254.875
68,1,20,255,253,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.8125
69,1,21,255,248,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.5
70,1,22,255,254,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.875
71,1,23,255,255,255,254,247,254,255,255,254,255,255,255,255,255,255,254,254.25
72,1,24,255,255,255,254,254,255,255,255,255,255,255,255,255,255,255,255,254.875
73,1,25,254,254,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.8125
74,1,26,255,255,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.9375
75,1,27,255,255,255,254,255,255,255,255,255,255,255,255,255,255,255,255,254.9375
76,1,28,255,255,255,254,255,255,255,255,255,255,255,255,255,254,255,255,254.875
77,1,29,255,253,255,254,255,254,255,255,255,255,255,255,255,254,255,255,254.6875
78,1,30,255,254,255,254,255,255,255,255,255,255,254,255,255,255,255,255,254.8125
79,1,31,255,254,255,254,255,255,255,254,255,255,255,255,255,255,255,255,254.8125
